age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,blue-collar,married,secondary,no,975,yes,no,cellular,13,may,256.0,2,351.0,2,failure,no
49,blue-collar,married,primary,no,305,yes,yes,telephone,10,jul,834.0,10,-1.0,0,unknown,no
49,services,married,secondary,no,400,no,no,cellular,21,aug,151.0,3,-1.0,0,unknown,no
53,retired,married,tertiary,no,-22,yes,no,cellular,31,jul,20.0,3,-1.0,0,unknown,no
37,technician,married,secondary,no,4030,yes,no,unknown,26,may,178.0,5,-1.0,0,unknown,no
49,blue-collar,married,primary,no,365,no,no,unknown,26,may,59.0,2,-1.0,0,unknown,no
41,self-employed,married,primary,no,204,no,no,cellular,13,aug,111.0,7,-1.0,0,unknown,no
54,management,married,primary,no,1691,yes,no,cellular,20,nov,186.0,1,-1.0,0,unknown,no
32,services,single,secondary,no,406,yes,no,unknown,6,may,227.0,1,-1.0,0,unknown,no
33,technician,married,secondary,no,-204,no,no,cellular,15,may,297.0,3,-1.0,0,unknown,no
33,technician,married,secondary,no,359,yes,no,cellular,20,apr,210.0,1,242.0,1,other,no
36,blue-collar,married,primary,no,123,yes,no,cellular,18,may,9.0,1,-1.0,0,unknown,no
35,technician,married,tertiary,no,0,yes,yes,cellular,23,sep,112.0,1,62.0,6,other,no
52,unknown,married,secondary,no,142,no,no,cellular,25,aug,112.0,6,-1.0,0,unknown,no
40,entrepreneur,married,tertiary,no,3571,no,no,unknown,9,jun,222.0,3,-1.0,0,unknown,no
44,technician,single,secondary,no,33,yes,no,cellular,13,may,195.0,3,351.0,10,failure,no
45,blue-collar,single,secondary,no,0,yes,no,cellular,26,jul,768.0,2,91.0,5,success,no
30,student,single,secondary,no,3096,no,no,cellular,26,jan,123.0,1,-1.0,0,unknown,no
48,technician,divorced,secondary,yes,20,no,no,cellular,27,aug,145.0,3,-1.0,0,unknown,no
33,blue-collar,married,secondary,no,3576,yes,no,cellular,2,apr,124.0,1,308.0,2,other,no
57,technician,married,unknown,no,206,yes,no,unknown,5,may,216.0,3,-1.0,0,unknown,no
57,housemaid,married,primary,no,7082,no,no,unknown,6,jun,69.0,3,-1.0,0,unknown,no
51,unemployed,married,tertiary,no,1634,yes,no,cellular,22,jul,168.0,4,-1.0,0,unknown,no
34,admin.,single,secondary,no,1,yes,no,cellular,22,jul,483.0,7,-1.0,0,unknown,no
50,self-employed,married,tertiary,no,4012,no,no,cellular,19,nov,690.0,3,-1.0,0,unknown,no
44,management,married,tertiary,no,3762,no,no,cellular,28,aug,125.0,12,-1.0,0,unknown,no
27,admin.,married,secondary,no,-247,yes,yes,unknown,4,jun,344.0,2,-1.0,0,unknown,no
50,blue-collar,married,secondary,no,606,yes,no,unknown,14,may,673.0,2,-1.0,0,unknown,no
36,management,married,tertiary,no,0,yes,no,cellular,28,jan,60.0,1,250.0,1,other,no
42,management,married,secondary,no,-189,yes,no,unknown,12,may,247.0,2,-1.0,0,unknown,no
32,unemployed,single,secondary,no,0,no,no,cellular,27,may,123.0,2,-1.0,0,unknown,no
42,management,married,tertiary,no,484,yes,no,cellular,11,jul,144.0,2,-1.0,0,unknown,no
43,technician,married,secondary,no,0,no,yes,cellular,8,may,9.0,2,172.0,5,failure,no
31,management,married,tertiary,no,395,yes,no,cellular,9,feb,155.0,3,-1.0,0,unknown,no
32,management,married,tertiary,no,2349,no,no,cellular,14,aug,134.0,5,-1.0,0,unknown,no
55,blue-collar,divorced,primary,no,410,no,yes,cellular,11,jul,221.0,2,-1.0,0,unknown,no
58,retired,married,primary,no,3401,yes,no,cellular,3,feb,84.0,3,265.0,2,failure,no
46,blue-collar,married,primary,no,222,no,no,cellular,8,aug,71.0,2,-1.0,0,unknown,no
55,blue-collar,married,secondary,no,989,yes,yes,unknown,23,may,246.0,4,-1.0,0,unknown,no
34,management,married,tertiary,no,415,no,yes,cellular,23,jul,361.0,2,-1.0,0,unknown,no
28,unemployed,single,secondary,no,16,no,no,cellular,12,aug,119.0,4,-1.0,0,unknown,no
42,technician,divorced,tertiary,no,7190,yes,no,cellular,29,jul,375.0,2,-1.0,0,unknown,no
29,blue-collar,single,secondary,no,482,no,yes,cellular,10,jul,1097.0,3,-1.0,0,unknown,yes
54,housemaid,married,secondary,no,209,yes,yes,cellular,25,jul,97.0,1,-1.0,0,unknown,no
32,technician,single,secondary,no,0,no,no,cellular,26,aug,181.0,2,-1.0,0,unknown,no
39,technician,single,tertiary,no,5803,no,no,cellular,2,feb,83.0,3,-1.0,0,unknown,no
53,entrepreneur,married,tertiary,no,624,no,yes,cellular,21,jul,180.0,4,-1.0,0,unknown,no
58,technician,married,tertiary,no,883,no,no,cellular,18,aug,543.0,1,78.0,2,failure,no
40,self-employed,married,secondary,no,1516,yes,yes,unknown,23,may,373.0,1,-1.0,0,unknown,no
29,student,single,secondary,no,872,yes,no,unknown,7,may,230.0,1,-1.0,0,unknown,no
33,technician,married,tertiary,no,-988,yes,yes,cellular,15,jul,83.0,3,-1.0,0,unknown,no
38,admin.,single,secondary,no,902,yes,no,telephone,31,jul,58.0,13,-1.0,0,unknown,no
56,services,divorced,secondary,no,1007,no,no,cellular,29,jul,88.0,6,-1.0,0,unknown,no
40,services,married,secondary,no,0,yes,no,cellular,2,jun,297.0,1,28.0,3,failure,no
24,blue-collar,single,secondary,no,174,yes,yes,cellular,18,may,487.0,1,-1.0,0,unknown,yes
46,management,married,secondary,no,12186,no,no,unknown,20,jun,29.0,3,-1.0,0,unknown,no
35,self-employed,married,secondary,no,524,yes,no,cellular,21,nov,484.0,4,-1.0,0,unknown,no
35,blue-collar,single,tertiary,no,0,yes,no,cellular,21,jul,262.0,4,-1.0,0,unknown,no
34,technician,married,secondary,no,4,yes,no,unknown,15,may,644.0,1,-1.0,0,unknown,no
35,housemaid,married,tertiary,no,11219,no,no,cellular,12,aug,699.0,2,79.0,1,failure,no
38,technician,single,tertiary,no,0,no,no,cellular,28,aug,247.0,2,-1.0,0,unknown,no
50,blue-collar,married,primary,no,5776,no,no,cellular,18,nov,49.0,3,-1.0,0,unknown,no
51,blue-collar,divorced,primary,no,37,yes,no,cellular,13,may,341.0,1,-1.0,0,unknown,no
59,self-employed,married,tertiary,no,593,no,no,unknown,13,may,64.0,2,-1.0,0,unknown,no
32,blue-collar,married,secondary,no,1148,yes,no,cellular,20,apr,121.0,1,-1.0,0,unknown,no
37,blue-collar,single,secondary,no,3561,yes,no,unknown,2,jun,98.0,1,-1.0,0,unknown,no
42,admin.,divorced,secondary,no,63,no,no,unknown,16,may,88.0,6,-1.0,0,unknown,no
40,student,married,secondary,no,260,no,no,unknown,20,jun,197.0,6,-1.0,0,unknown,no
